Unnamed: 0,Timestamp (s),CPU (%),RAM (%),Swap (%),0:GPU (%),0:Mem (%),0:Temp (C),1:GPU (%),1:Mem (%),1:Temp (C)
0,1670978775.672,21.3,7.3,0.0,0,0,26,0,0,25
1,1670978805.7,20.6,8.0,0.0,95,67,42,0,0,25
2,1670978835.728,20.7,8.0,0.0,95,67,50,0,0,25
3,1670978865.756,20.6,8.0,0.0,96,68,54,0,0,25
4,1670978895.784,20.6,8.0,0.0,95,64,57,0,0,25
5,1670978925.813,20.7,8.0,0.0,96,60,59,0,0,25
6,1670978955.842,20.7,8.0,0.0,97,68,60,0,0,25
7,1670978985.87,20.7,8.0,0.0,96,64,61,0,0,25
9,1670979127.452,66.9,10.1,0.0,0,0,25,0,0,28
10,1670979157.481,67.4,10.7,0.0,97,70,43,0,0,28
11,1670979187.51,68.5,10.7,0.0,97,70,51,0,0,28
12,1670979217.539,68.9,10.7,0.0,92,65,57,0,0,28
13,1670979247.568,68.7,10.7,0.0,94,59,61,0,0,28
14,1670979277.597,69.0,10.7,0.0,94,58,65,0,0,28
15,1670979307.626,69.1,10.7,0.0,94,63,67,0,0,28
16,1670979337.655,69.0,10.7,0.0,91,61,68,0,0,28
17,1670979367.678,69.0,10.6,0.0,94,59,70,0,0,28
18,1670979397.707,69.6,10.7,0.0,94,58,69,0,0,28
19,1670979427.736,71.7,11.0,0.0,91,63,70,0,0,28
20,1670979457.764,73.1,11.6,0.0,95,67,70,0,0,28
21,1670979487.782,71.4,11.1,0.0,91,62,71,0,0,28
22,1670979517.811,73.3,11.0,0.0,92,63,72,0,0,28
23,1670979547.84,71.7,11.4,0.0,97,69,72,0,0,28
24,1670979577.869,71.2,11.0,0.0,94,61,72,0,0,28
25,1670979607.894,72.2,11.4,0.0,94,59,72,0,0,28
26,1670979637.923,71.2,11.1,0.0,91,64,71,0,0,28
27,1670979667.941,72.4,11.3,0.0,97,69,72,0,0,28
28,1670979697.97,74.1,11.5,0.0,94,60,72,0,0,28
29,1670979727.999,73.4,11.4,0.0,91,61,72,0,0,28
30,1670979758.028,74.1,11.2,0.0,93,65,71,0,0,28
31,1670979788.047,74.0,11.5,0.0,92,64,72,0,0,28
32,1670979818.076,74.1,11.5,0.0,95,67,71,0,0,28
33,1670979848.105,73.3,11.3,0.0,96,62,72,0,0,28
34,1670979878.134,74.2,11.3,0.0,94,61,71,0,0,28
35,1670979908.162,73.6,11.5,0.0,92,58,72,0,0,28
36,1670979938.191,73.2,11.3,0.0,91,64,72,0,0,28
37,1670979968.22,74.0,11.5,0.0,97,69,72,0,0,28
38,1670979998.249,73.5,11.5,0.0,96,67,72,0,0,28
39,1670980028.278,73.9,11.5,0.0,91,63,72,0,0,28
40,1670980058.307,73.1,11.3,0.0,94,58,72,0,0,28
41,1670980088.336,73.8,11.5,0.0,94,60,73,0,0,28
42,1670980118.364,73.3,11.3,0.0,97,68,71,0,0,29
43,1670980148.393,65.1,12.3,0.0,93,64,72,0,0,29
44,1670980178.4,73.9,12.2,0.0,94,58,72,0,0,28
45,1670980208.429,62.5,12.9,0.0,96,68,74,0,0,29
46,1670980238.458,69.5,13.0,0.0,93,65,73,0,0,29
47,1670980268.487,68.8,13.8,0.0,91,61,73,0,0,28
48,1670980298.516,74.5,13.8,0.0,94,66,72,0,0,28
49,1670980328.545,74.8,13.7,0.0,93,58,73,0,0,28
50,1670980358.552,75.2,13.7,0.0,95,67,70,0,0,28
51,1670980388.58,74.6,13.5,0.0,91,61,70,0,0,28
52,1670980418.609,74.0,13.4,0.0,91,63,68,0,0,28
53,1670980448.636,75.4,13.5,0.0,91,63,68,0,0,28
54,1670980478.664,75.1,13.5,0.0,94,59,69,0,0,28
55,1670980508.693,75.1,13.4,0.0,93,61,70,0,0,28
56,1670980538.722,74.9,13.4,0.0,96,68,70,0,0,28
57,1670980568.73,75.2,13.5,0.0,96,59,71,0,0,28
58,1670980598.759,74.8,13.5,0.0,93,60,69,0,0,28
59,1670980628.788,73.2,13.6,0.0,97,70,69,0,0,28
60,1670980658.816,73.2,13.5,0.0,91,61,70,0,0,28
61,1670980688.845,72.4,13.5,0.0,93,64,71,0,0,28
62,1670980718.874,71.5,13.4,0.0,91,63,71,0,0,28
63,1670980748.903,71.3,13.4,0.0,95,59,70,0,0,28
64,1670980778.931,62.0,14.2,0.0,93,57,70,0,0,28
65,1670980808.96,72.0,14.3,0.0,96,61,71,0,0,28
66,1670980838.989,72.0,14.3,0.0,91,61,71,0,0,28
67,1670980869.018,72.5,14.3,0.0,97,69,70,0,0,28
68,1670980899.047,72.6,14.2,0.0,91,64,70,0,0,28
69,1670980929.076,72.0,14.4,0.0,93,57,70,0,0,28
70,1670980959.091,70.7,14.2,0.0,94,62,70,0,0,28
71,1670980989.12,71.6,14.3,0.0,94,59,70,0,0,28
72,1670981019.148,72.0,14.3,0.0,90,60,69,0,0,28
73,1670981049.163,72.3,14.3,0.0,92,64,69,0,0,28
74,1670981079.191,71.5,14.1,0.0,90,61,69,0,0,28
75,1670981109.22,71.3,14.1,0.0,93,59,69,0,0,28
76,1670981139.247,70.5,13.9,0.0,93,65,69,0,0,28
77,1670981169.276,70.9,13.9,0.0,94,66,70,0,0,28
78,1670981199.304,71.1,13.9,0.0,90,64,69,0,0,28
79,1670981229.333,71.4,14.0,0.0,91,63,70,0,0,28
80,1670981259.362,71.5,13.9,0.0,91,61,70,0,0,28
81,1670981289.391,71.2,13.9,0.0,95,67,70,0,0,28
82,1670981319.42,71.0,14.1,0.0,91,63,70,0,0,28
83,1670981349.449,71.4,13.9,0.0,90,62,70,0,0,28
84,1670981379.476,71.2,13.9,0.0,91,61,70,0,0,28
85,1670981409.504,71.3,13.9,0.0,94,61,70,0,0,28
86,1670981439.534,70.6,13.7,0.0,94,65,70,0,0,28
87,1670981469.562,70.5,13.7,0.0,97,69,70,0,0,28
88,1670981499.591,70.4,13.7,0.0,91,63,70,0,0,28
89,1670981529.62,70.6,13.7,0.0,92,64,70,0,0,28
90,1670981559.649,70.6,13.7,0.0,91,63,70,0,0,28
91,1670981589.678,70.5,13.7,0.0,94,58,70,0,0,28
92,1670981619.707,70.5,13.7,0.0,92,64,70,0,0,28
93,1670981649.736,70.5,13.7,0.0,95,67,70,0,0,28
94,1670981679.765,70.6,13.7,0.0,91,63,70,0,0,28
95,1670981709.794,70.5,13.7,0.0,93,57,70,0,0,28
96,1670981739.823,70.5,13.7,0.0,94,66,70,0,0,28
97,1670981769.852,70.6,13.7,0.0,91,63,70,0,0,28
98,1670981799.881,70.5,13.7,0.0,95,67,70,0,0,28
99,1670981829.91,70.2,13.8,0.0,90,57,70,0,0,28
100,1670981859.938,69.0,13.8,0.0,93,61,70,0,0,28
101,1670981889.967,68.9,13.8,0.0,96,68,70,0,0,28
102,1670981919.996,68.9,13.8,0.0,93,65,70,0,0,28
103,1670981950.024,69.5,13.7,0.0,91,63,70,0,0,28
104,1670981980.053,70.4,13.7,0.0,94,58,70,0,0,28
105,1670982010.082,70.6,13.7,0.0,91,61,70,0,0,28
106,1670982040.111,70.5,13.7,0.0,91,57,70,0,0,28
107,1670982070.14,70.5,13.7,0.0,94,58,70,0,0,28
108,1670982100.168,70.5,13.7,0.0,91,61,70,0,0,28
109,1670982130.197,70.5,13.7,0.0,96,68,70,0,0,28
110,1670982160.226,70.5,13.7,0.0,94,66,70,0,0,28
111,1670982190.253,70.5,13.7,0.0,91,60,69,0,0,28
112,1670982220.282,70.5,13.7,0.0,93,58,70,0,0,28
113,1670982250.306,70.5,13.7,0.0,93,65,69,0,0,28
114,1670982280.335,70.5,13.7,0.0,92,65,70,0,0,28
115,1670982310.364,70.6,13.7,0.0,91,63,69,0,0,28
116,1670982340.393,70.5,13.7,0.0,93,58,70,0,0,28
117,1670982370.422,70.5,13.7,0.0,91,61,70,0,0,28
118,1670982400.451,70.5,13.7,0.0,97,69,70,0,0,28
119,1670982430.481,70.5,13.7,0.0,90,63,70,0,0,28
120,1670982460.509,70.5,13.7,0.0,0,0,66,0,0,28
121,1670982490.538,69.6,13.8,0.0,90,64,69,0,0,28
122,1670982520.566,68.9,13.8,0.0,92,64,70,0,0,28
123,1670982550.596,69.0,13.8,0.0,94,58,70,0,0,28
124,1670982580.619,69.0,13.8,0.0,90,62,70,0,0,28
125,1670982610.648,69.0,13.8,0.0,93,65,70,0,0,28
126,1670982640.677,68.9,13.8,0.0,92,64,70,0,0,28
127,1670982670.706,69.1,13.7,0.0,91,59,70,0,0,28
128,1670982700.72,70.6,13.7,0.0,96,62,70,0,0,28
129,1670982730.749,70.6,13.7,0.0,90,62,70,0,0,28
130,1670982760.767,70.5,13.7,0.0,94,58,70,0,0,28
131,1670982790.796,70.4,13.7,0.0,93,65,70,0,0,28
132,1670982820.825,70.6,13.7,0.0,95,67,70,0,0,28
133,1670982850.854,70.4,13.8,0.0,91,63,70,0,0,28
134,1670982880.855,70.5,13.8,0.0,94,58,70,0,0,28
135,1670982910.884,70.6,13.8,0.0,91,61,70,0,0,28
136,1670982940.913,70.6,13.7,0.0,91,63,70,0,0,28
137,1670982970.942,70.5,13.7,0.0,97,69,70,0,0,28
138,1670983000.971,70.6,13.8,0.0,91,63,70,0,0,28
139,1670983031.0,70.4,13.8,0.0,93,58,70,0,0,28
140,1670983061.029,70.2,13.8,0.0,94,66,70,0,0,28
141,1670983091.037,70.5,13.8,0.0,97,69,70,0,0,28
142,1670983121.065,70.5,13.8,0.0,91,63,70,0,0,28
143,1670983151.094,70.5,13.8,0.0,91,58,70,0,0,28
144,1670983181.123,70.6,13.8,0.0,91,63,70,0,0,28
145,1670983211.152,70.4,13.8,0.0,90,63,71,0,0,28
146,1670983241.181,70.4,13.8,0.0,92,57,70,0,0,28
147,1670983271.21,70.4,13.8,0.0,91,61,71,0,0,28
148,1670983301.239,70.5,13.8,0.0,97,69,71,0,0,28
149,1670983331.262,70.5,13.8,0.0,92,64,70,0,0,28
150,1670983361.291,70.2,13.8,0.0,93,58,70,0,0,28
151,1670983391.32,70.4,13.8,0.0,91,56,70,0,0,28
152,1670983421.323,70.0,13.8,0.0,91,63,70,0,0,28
153,1670983451.352,69.1,13.7,0.0,97,70,69,0,0,28
154,1670983481.381,70.2,13.7,0.0,96,68,70,0,0,28
155,1670983511.41,70.5,13.7,0.0,92,65,69,0,0,28
156,1670983541.439,70.5,13.7,0.0,92,63,70,0,0,28
157,1670983571.468,70.5,13.7,0.0,94,58,69,0,0,28
158,1670983601.496,70.5,13.7,0.0,92,62,70,0,0,28
159,1670983631.525,70.5,13.7,0.0,95,67,70,0,0,28
160,1670983661.554,70.6,13.7,0.0,91,61,70,0,0,28
161,1670983691.583,68.8,14.2,0.0,93,60,71,0,0,28
162,1670983721.612,70.8,14.2,0.0,95,67,70,0,0,28
163,1670983751.64,70.7,14.2,0.0,92,64,71,0,0,28
164,1670983781.669,70.8,14.2,0.0,91,60,71,0,0,28
165,1670983811.698,70.7,14.2,0.0,94,62,71,0,0,28
166,1670983841.727,70.7,14.2,0.0,97,70,71,0,0,28
167,1670983871.756,70.4,14.2,0.0,94,66,71,0,0,28
169,1670985436.969,69.0,10.2,0.0,0,0,23,0,0,25
170,1670985467.0,66.9,10.9,0.0,98,70,40,0,0,25
171,1670985497.027,67.7,10.9,0.0,93,65,48,0,0,25
172,1670985527.056,67.8,10.9,0.0,96,69,53,0,0,25
173,1670985557.085,67.6,10.9,0.0,92,65,56,0,0,25
174,1670985587.114,67.9,10.9,0.0,92,64,58,0,0,25
175,1670985617.134,67.5,10.9,0.0,92,59,59,0,0,25
176,1670985647.163,67.4,10.9,0.0,91,62,60,0,0,25
177,1670985677.191,67.5,10.8,0.0,95,60,61,0,0,25
178,1670985707.219,67.6,10.8,0.0,91,57,60,0,0,25
179,1670985737.248,67.8,10.8,0.0,92,64,62,0,0,25
180,1670985767.277,68.4,11.7,0.0,92,63,62,0,0,25
181,1670985797.297,74.6,11.6,0.0,91,64,63,0,0,25
182,1670985827.323,83.7,11.6,0.0,94,67,63,0,0,25
183,1670985857.352,83.4,11.6,0.0,92,64,63,0,0,25
184,1670985887.381,69.2,12.0,0.0,92,64,63,0,0,25
185,1670985917.41,66.7,14.2,0.0,6,0,58,0,0,25
186,1670985947.439,84.9,13.9,0.0,94,60,62,0,0,25
187,1670985977.468,84.8,13.9,0.0,91,64,62,0,0,25
188,1670986007.498,84.8,13.9,0.0,91,64,62,0,0,25
189,1670986037.526,84.9,13.9,0.0,95,67,63,0,0,25
190,1670986067.556,84.8,13.9,0.0,92,62,63,0,0,25
191,1670986097.584,84.7,13.9,0.0,94,59,63,0,0,25
192,1670986127.613,85.2,13.9,0.0,93,59,63,0,0,25
193,1670986157.641,85.4,14.5,0.0,7,0,56,0,0,25
194,1670986187.653,85.2,13.9,0.0,93,60,62,0,0,25
195,1670986217.68,84.8,13.9,0.0,93,58,62,0,0,25
196,1670986247.709,84.9,13.9,0.0,91,62,63,0,0,25
197,1670986277.709,84.8,13.9,0.0,95,68,63,0,0,25
198,1670986307.738,84.7,13.9,0.0,97,69,63,0,0,25
199,1670986337.766,84.8,13.9,0.0,96,69,63,0,0,25
200,1670986367.795,84.8,13.9,0.0,94,61,63,0,0,25
201,1670986397.825,85.0,14.3,0.0,0,0,55,0,0,25
202,1670986427.853,84.7,13.9,0.0,93,61,62,0,0,25
203,1670986457.882,84.6,13.9,0.0,94,60,62,0,0,25
204,1670986487.911,84.9,13.9,0.0,91,61,62,0,0,25
205,1670986517.939,85.0,13.9,0.0,90,63,62,0,0,25
206,1670986547.968,84.8,13.9,0.0,90,64,63,0,0,25
207,1670986577.997,84.7,13.9,0.0,97,70,63,0,0,25
208,1670986608.026,84.7,13.9,0.0,96,69,63,0,0,25
209,1670986638.055,84.8,13.9,0.0,94,67,58,0,0,25
210,1670986668.084,84.7,13.9,0.0,94,67,62,0,0,25
211,1670986698.113,84.8,13.9,0.0,97,69,62,0,0,25
212,1670986728.131,84.6,13.9,0.0,93,65,63,0,0,25
213,1670986758.16,84.7,13.9,0.0,91,64,63,0,0,25
214,1670986788.189,84.8,14.0,0.0,91,59,63,0,0,25
215,1670986818.218,84.6,14.0,0.0,92,61,63,0,0,25
216,1670986848.246,84.7,14.0,0.0,91,63,63,0,0,25
217,1670986878.275,84.9,13.9,0.0,94,67,60,0,0,25
218,1670986908.304,84.8,13.9,0.0,92,65,62,0,0,25
219,1670986938.333,84.8,14.0,0.0,93,62,62,0,0,25
220,1670986968.362,84.6,14.0,0.0,91,61,63,0,0,25
221,1670986998.391,84.7,14.0,0.0,94,58,62,0,0,25
222,1670987028.394,84.8,14.0,0.0,91,62,63,0,0,25
223,1670987058.425,84.7,14.0,0.0,91,59,63,0,0,25
224,1670987088.452,84.8,14.0,0.0,97,68,63,0,0,25
225,1670987118.48,84.8,13.9,0.0,91,63,63,0,0,25
226,1670987148.509,84.9,13.9,0.0,91,64,63,0,0,25
227,1670987178.538,84.7,13.9,0.0,95,68,63,0,0,25
228,1670987208.567,84.7,13.9,0.0,97,68,63,0,0,25
229,1670987238.595,84.8,13.9,0.0,91,62,63,0,0,25
230,1670987268.624,74.0,14.7,0.0,91,64,63,0,0,25
231,1670987298.653,85.2,14.7,0.0,96,68,63,0,0,25
232,1670987328.681,85.2,14.7,0.0,94,58,62,0,0,25
233,1670987358.709,85.3,14.7,0.0,92,64,62,0,0,25
234,1670987388.738,86.0,14.7,0.0,91,61,62,0,0,25
235,1670987418.752,85.6,14.7,0.0,94,59,63,0,0,25
236,1670987448.781,85.2,14.7,0.0,91,64,63,0,0,25
237,1670987478.802,85.2,14.7,0.0,93,62,63,0,0,25
238,1670987508.831,85.2,14.7,0.0,91,60,63,0,0,25
239,1670987538.86,85.2,14.7,0.0,94,67,63,0,0,25
240,1670987568.864,85.1,14.7,0.0,94,62,63,0,0,25
241,1670987598.893,85.3,14.7,0.0,97,69,62,0,0,25
242,1670987628.922,85.2,14.7,0.0,94,58,62,0,0,25
243,1670987658.952,85.3,14.7,0.0,91,64,63,0,0,25
244,1670987688.98,85.3,14.7,0.0,91,63,63,0,0,25
245,1670987719.009,85.3,14.7,0.0,94,59,63,0,0,25
246,1670987749.011,85.6,14.7,0.0,91,64,62,0,0,25
247,1670987779.04,85.1,14.7,0.0,91,62,63,0,0,25
248,1670987809.069,85.2,14.7,0.0,93,58,63,0,0,25
249,1670987839.071,85.3,14.7,0.0,93,61,62,0,0,25
250,1670987869.1,85.1,14.7,0.0,90,63,63,0,0,25
251,1670987899.129,85.2,14.7,0.0,97,70,62,0,0,25
252,1670987929.157,85.3,14.7,0.0,93,58,62,0,0,25
253,1670987959.192,85.1,14.7,0.0,92,62,63,0,0,25
254,1670987989.221,85.1,14.7,0.0,95,68,63,0,0,25
255,1670988019.25,85.1,14.7,0.0,93,62,62,0,0,25
256,1670988049.279,85.2,14.7,0.0,49,32,60,0,0,25
257,1670988079.301,85.1,14.7,0.0,97,70,61,0,0,25
258,1670988109.33,85.1,14.7,0.0,92,64,61,0,0,25
259,1670988139.359,85.1,14.7,0.0,90,63,62,0,0,25
260,1670988169.388,85.2,14.7,0.0,95,68,62,0,0,25
261,1670988199.417,85.1,14.7,0.0,94,59,62,0,0,25
262,1670988229.44,85.0,14.7,0.0,91,60,62,0,0,25
263,1670988259.466,85.2,14.7,0.0,93,66,63,0,0,25
264,1670988289.495,85.3,14.7,0.0,91,64,62,0,0,25
265,1670988319.523,85.1,14.7,0.0,95,67,62,0,0,25
266,1670988349.525,85.2,14.7,0.0,93,60,62,0,0,25
267,1670988379.554,85.2,14.7,0.0,90,62,62,0,0,25
268,1670988409.583,85.2,14.7,0.0,92,64,62,0,0,25
269,1670988439.612,85.2,14.7,0.0,94,59,63,0,0,25
270,1670988469.641,85.1,14.7,0.0,91,64,63,0,0,25
271,1670988499.67,85.1,14.7,0.0,95,68,62,0,0,25
272,1670988529.699,85.2,14.7,0.0,94,67,62,0,0,25
273,1670988559.71,85.1,14.7,0.0,91,64,62,0,0,25
274,1670988589.71,85.2,14.7,0.0,91,64,63,0,0,25
275,1670988619.739,85.5,14.7,0.0,96,68,62,0,0,25
276,1670988649.768,85.9,14.7,0.0,91,56,62,0,0,25
277,1670988679.797,85.3,14.7,0.0,92,64,62,0,0,25
278,1670988709.826,85.2,14.7,0.0,93,65,62,0,0,25
279,1670988739.855,85.2,14.7,0.0,90,64,62,0,0,25
280,1670988769.884,85.3,14.7,0.0,97,70,62,0,0,25
281,1670988799.913,85.2,14.7,0.0,91,64,63,0,0,25
282,1670988829.942,85.2,14.7,0.0,95,68,62,0,0,25
283,1670988859.971,84.4,14.9,0.0,92,60,62,0,0,25
284,1670988889.973,84.1,15.2,0.0,97,70,62,0,0,25
285,1670988920.002,85.4,15.2,0.0,91,63,63,0,0,25
286,1670988950.031,85.4,15.2,0.0,94,59,62,0,0,25
287,1670988980.06,85.3,15.2,0.0,94,67,62,0,0,25
288,1670989010.089,85.4,15.2,0.0,95,67,62,0,0,25
289,1670989040.117,85.4,15.2,0.0,91,58,62,0,0,25
290,1670989070.146,85.4,15.2,0.0,90,61,62,0,0,25
291,1670989100.149,85.3,15.2,0.0,91,63,62,0,0,25
292,1670989130.178,85.3,15.3,0.0,96,69,63,0,0,25
293,1670989160.207,85.4,15.3,0.0,91,63,63,0,0,25
294,1670989190.236,85.4,15.4,0.0,94,67,62,0,0,25
295,1670989220.265,85.5,15.4,0.0,94,59,62,0,0,25
296,1670989250.294,85.5,15.5,0.0,94,67,62,0,0,25
297,1670989280.323,85.5,15.5,0.0,91,64,62,0,0,25
298,1670989310.351,82.7,13.1,0.0,94,60,61,0,0,25
299,1670989340.38,69.2,13.1,0.0,92,64,62,0,0,25
300,1670989370.409,70.0,13.9,0.0,93,65,62,0,0,25
301,1670989400.438,69.5,13.1,0.0,92,61,63,0,0,25
302,1670989430.467,69.2,13.1,0.0,91,64,64,0,0,25
303,1670989460.495,69.3,13.1,0.0,95,67,63,0,0,25
304,1670989490.524,70.3,13.9,0.0,94,62,64,0,0,25
305,1670989520.553,74.4,14.0,0.0,97,70,63,0,0,25
306,1670989550.581,83.2,14.5,0.0,96,68,63,0,0,25
307,1670989580.61,83.5,14.9,0.0,93,59,63,0,0,25
308,1670989610.638,85.4,15.0,0.0,91,57,63,0,0,25
309,1670989640.667,85.4,15.0,0.0,91,62,63,0,0,25
310,1670989670.696,85.5,15.0,0.0,97,69,63,0,0,25
311,1670989700.702,85.6,15.0,0.0,97,70,63,0,0,25
312,1670989730.731,85.4,15.0,0.0,93,60,63,0,0,25
313,1670989760.76,83.8,15.5,0.0,90,64,62,0,0,25
314,1670989790.78,85.8,15.6,0.0,94,66,63,0,0,25
315,1670989820.809,85.7,15.7,0.0,91,61,63,0,0,25
316,1670989850.838,85.5,15.8,0.0,92,65,62,0,0,25
317,1670989880.866,85.8,15.9,0.0,91,61,62,0,0,25
318,1670989910.895,84.6,16.0,0.0,94,62,63,0,0,25
319,1670989940.899,73.5,11.2,0.0,92,63,62,0,0,25
320,1670989970.928,54.5,12.9,0.0,91,57,62,0,0,25
321,1670990000.957,67.1,13.0,0.0,91,64,62,0,0,25
322,1670990030.986,84.4,13.1,0.0,96,68,62,0,0,25
323,1670990061.014,84.2,13.1,0.0,95,68,62,0,0,25
324,1670990091.043,84.4,13.2,0.0,93,63,62,0,0,25
325,1670990121.072,71.9,10.8,0.0,97,69,63,0,0,25
326,1670990151.078,68.0,10.8,0.0,92,64,63,0,0,25
327,1670990181.107,67.3,12.6,0.0,81,45,55,0,0,25
